scope,category,enum_type,member_name,display_name,is_vip,effect_id,resource_id,default_duration_ms
动态视觉效果,视频转场,TransitionType,回忆拉屏,回忆拉屏,True,8027945,7184682990901924410,1000.0
动态视觉效果,视频转场,TransitionType,回忆拉屏_II,回忆拉屏 II,True,31456359,7306440470119322139,700.0
动态视觉效果,视频转场,TransitionType,图片放大,图片放大,True,89190525,7434055685576348170,1000.0
动态视觉效果,视频转场,TransitionType,圆形分割,圆形分割,True,4211684,7083435788322476581,1500.0
动态视觉效果,视频转场,TransitionType,圆盘旋转,圆盘旋转,True,48516414,7341334144485429810,700.0
动态视觉效果,视频转场,TransitionType,圣诞光斑,圣诞光斑,True,97572058,7450334536455426569,1030.0
动态视觉效果,视频转场,TransitionType,圣诞光斑II,圣诞光斑II,True,98049569,7451488401062105610,1030.0
动态视觉效果,视频转场,TransitionType,圣诞树,圣诞树,True,29976594,7302357935902954035,700.0
动态视觉效果,视频转场,TransitionType,圣诞礼盒,圣诞礼盒,True,96154390,7447067834628182578,1500.0
动态视觉效果,视频转场,TransitionType,复古漏光,复古漏光,True,8104139,7181752495150993957,800.0
动态视觉效果,视频转场,TransitionType,复古漏光_II,复古漏光 II,True,25193261,7287881053534949943,600.0
动态视觉效果,视频转场,TransitionType,复古胶片,复古胶片,True,19552395,7261814111816651322,1000.0
动态视觉效果,视频转场,TransitionType,多层环形,多层环形,True,67116644,7373523970538082866,1500.0
动态视觉效果,视频转场,TransitionType,多屏定格,多屏定格,True,25184085,7287860606395224613,800.0
动态视觉效果,视频转场,TransitionType,大圆盘,大圆盘,True,59713023,7362104359682839055,800.0
动态视觉效果,视频转场,TransitionType,大波浪,大波浪,True,86769062,7426688369653977638,833.0
动态视觉效果,视频转场,TransitionType,字母拼贴,字母拼贴,True,35402126,7314304549575987749,1000.0
动态视觉效果,视频转场,TransitionType,射灯,射灯,True,63886272,7368775489445433883,1600.0
动态视觉效果,视频转场,TransitionType,小喇叭,小喇叭,True,1600476,7070430823597478407,500.0
动态视觉效果,视频转场,TransitionType,小恶魔,小恶魔,True,1628344,7075598043252265509,1000.0
动态视觉效果,视频转场,TransitionType,左移弹动,左移弹动,True,34525642,7312690473108247078,800.0
动态视觉效果,视频转场,TransitionType,幻影,幻影,True,11634125,7218040359715082809,800.0
动态视觉效果,视频转场,TransitionType,幻觉,幻觉,True,76465118,7395044376621093391,1000.0
动态视觉效果,视频转场,TransitionType,开心,开心,True,1610838,7073053544839909919,500.0
动态视觉效果,视频转场,TransitionType,弹出,弹出,True,76381219,7394709307842892303,900.0
动态视觉效果,视频转场,TransitionType,弹动发光,弹动发光,True,51950360,7347897562436735503,800.0
动态视觉效果,视频转场,TransitionType,彩色像素,彩色像素,True,4212518,7096015235953201701,500.0
动态视觉效果,视频转场,TransitionType,彩色滑片,彩色滑片,True,90546380,7437386424036381234,1500.0
动态视觉效果,视频转场,TransitionType,往上翻页,往上翻页,True,102053853,7461951141333439013,1040.0
动态视觉效果,视频转场,TransitionType,微抖动,微抖动,True,63860874,7368739347845091877,1500.0
动态视觉效果,视频转场,TransitionType,心形叠化,心形叠化,True,20224653,7264829174601224764,1000.0
动态视觉效果,视频转场,TransitionType,快涂擦除,快涂擦除,True,97482742,7450031573954466331,500.0
动态视觉效果,视频转场,TransitionType,快速缩放,快速缩放,True,71890617,7382154814144123392,1000.0
动态视觉效果,视频转场,TransitionType,快速震闪,快速震闪,True,79172318,7403364394404418074,1000.0
动态视觉效果,视频转场,TransitionType,惊悚屏闪,惊悚屏闪,True,86397088,7425528298395931187,1000.0
动态视觉效果,视频转场,TransitionType,手机屏放大,手机屏放大,True,96240495,7447351620649620005,2000.0
动态视觉效果,视频转场,TransitionType,扫光,扫光,True,4202535,7106765945305043463,500.0
动态视觉效果,视频转场,TransitionType,扭曲弹动,扭曲弹动,True,79044291,7402970650379293199,1000.0
动态视觉效果,视频转场,TransitionType,扭曲旋入,扭曲旋入,True,67190756,7373640088091103763,1000.0
动态视觉效果,视频转场,TransitionType,扭曲溶解,扭曲溶解,True,67617874,7374259106502152741,1000.0
动态视觉效果,视频转场,TransitionType,扭转弹动,扭转弹动,True,50231600,7344986966145896994,1500.0
动态视觉效果,视频转场,TransitionType,抖动放大,抖动放大,True,19272888,7260415521852494397,800.0
动态视觉效果,视频转场,TransitionType,抖动缩小,抖动缩小,True,26488746,7291972229087105563,700.0
动态视觉效果,视频转场,TransitionType,抖动缩小_II,抖动缩小  II,True,36841926,7316783851206873651,1000.0
动态视觉效果,视频转场,TransitionType,折痕胶带,折痕胶带,True,90037011,7436273714733257225,1000.0
动态视觉效果,视频转场,TransitionType,拉开,拉开,True,72601002,7384323685026370098,600.0
动态视觉效果,视频转场,TransitionType,拉框入屏,拉框入屏,True,28115429,7297077423487586826,1000.0
动态视觉效果,视频转场,TransitionType,挤压分屏,挤压分屏,True,89895302,7435897594074632713,830.0
动态视觉效果,视频转场,TransitionType,推近_II,推近 II,True,26135688,7290852476259930685,900.0
动态视觉效果,视频转场,TransitionType,推远_II,推远 II,True,59043083,7360987817066893862,1000.0
动态视觉效果,视频转场,TransitionType,摄像机,摄像机,True,1598384,7070047850960261668,500.0
动态视觉效果,视频转场,TransitionType,摇晃描边,摇晃描边,True,66403340,7372137986877559335,1000.0
动态视觉效果,视频转场,TransitionType,摇晃震动,摇晃震动,True,49545855,7343618757530489379,1300.0
动态视觉效果,视频转场,TransitionType,摇镜,摇镜,True,31254345,7305969268259033609,700.0
动态视觉效果,视频转场,TransitionType,撕纸,撕纸,True,2912468,6875627914444935694,500.0
动态视觉效果,视频转场,TransitionType,撕纸掉落,撕纸掉落,True,11661051,7218114518314914365,1200.0
动态视觉效果,视频转场,TransitionType,收缩抖动,收缩抖动,True,51859926,7347676775633130024,1000.0
动态视觉效果,视频转场,TransitionType,放大左移,放大左移,True,51784590,7347582471111709236,1300.0
动态视觉效果,视频转场,TransitionType,放大镜,放大镜,True,35244988,7313974602156216858,700.0
动态视觉效果,视频转场,TransitionType,故障扫描,故障扫描,True,86396968,7425528124013548059,1000.0
动态视觉效果,视频转场,TransitionType,故障模糊,故障模糊,True,29927992,7302270954602762789,700.0
动态视觉效果,视频转场,TransitionType,斜向模糊,斜向模糊,True,3796323,7125661284762128910,800.0
动态视觉效果,视频转场,TransitionType,斜向闪光,斜向闪光,True,72603864,7384331194978013711,700.0
动态视觉效果,视频转场,TransitionType,斜线翻页,斜线翻页,True,47905855,7339900424956154403,700.0
动态视觉效果,视频转场,TransitionType,新篇章,新篇章,True,7089439,7174756125902901797,800.0
动态视觉效果,视频转场,TransitionType,新篇章_II,新篇章 II,True,7089435,7174754977544409657,1600.0
动态视觉效果,视频转场,TransitionType,方形分割,方形分割,True,3895735,7127901205820346917,500.0
动态视觉效果,视频转场,TransitionType,方形变焦,方形变焦,True,77388758,7398512469884277260,1000.0
动态视觉效果,视频转场,TransitionType,方形模糊,方形模糊,True,3686479,7122721406210544164,1000.0
动态视觉效果,视频转场,TransitionType,方形模糊_II,方形模糊 II,True,72501238,7384005295770440201,1000.0
动态视觉效果,视频转场,TransitionType,方片翻转,方片翻转,True,98063100,7451501266246570534,1100.0
动态视觉效果,视频转场,TransitionType,旋焦,旋焦,True,11286537,7215424325036282428,500.0
动态视觉效果,视频转场,TransitionType,旋转圆球,旋转圆球,True,69481298,7377722094806635048,800.0
动态视觉效果,视频转场,TransitionType,旋转圆盘,旋转圆盘,True,19556167,7261828356386067005,1000.0
动态视觉效果,视频转场,TransitionType,旋转圆盘_II,旋转圆盘 II,True,19727008,7262674749258469949,1000.0
动态视觉效果,视频转场,TransitionType,旋转快门,旋转快门,True,53358879,7350577049968316979,1000.0
动态视觉效果,视频转场,TransitionType,旋转拨盘,旋转拨盘,True,63924504,7368844683256009242,1000.0
动态视觉效果,视频转场,TransitionType,旋转模糊,旋转模糊,True,44259414,7332480491058106943,1200.0
动态视觉效果,视频转场,TransitionType,旋转穿越,旋转穿越,True,49228871,7343092798993732148,1800.0
动态视觉效果,视频转场,TransitionType,旋转纵深,旋转纵深,True,63822177,7368687055225754153,900.0
动态视觉效果,视频转场,TransitionType,旋转翻页,旋转翻页,True,38717232,7320577375752688165,800.0
动态视觉效果,视频转场,TransitionType,旋转震动,旋转震动,True,41492871,7326861725213397514,600.0
动态视觉效果,视频转场,TransitionType,无缝撕裂,无缝撕裂,True,92006145,7439255870896083506,1500.0
动态视觉效果,视频转场,TransitionType,无限穿越_I,无限穿越 I,True,1465694,7036984568536109581,1600.0
动态视觉效果,视频转场,TransitionType,无限穿越_II,无限穿越 II,True,1458828,7034717113130422791,1600.0
动态视觉效果,视频转场,TransitionType,日历转场,日历转场,True,101496138,7460472998944838154,2000.0
动态视觉效果,视频转场,TransitionType,时光穿梭,时光穿梭,True,31645629,7306853312400200229,1100.0
动态视觉效果,视频转场,TransitionType,星光,星光,True,7339355,7177201869612126777,1500.0
动态视觉效果,视频转场,TransitionType,星光叠化,星光叠化,True,39173243,7321658733497422363,800.0
动态视觉效果,视频转场,TransitionType,星光炸开,星光炸开,True,31644713,7306852010320466483,1300.0
动态视觉效果,视频转场,TransitionType,星星_III,星星 III,True,26885516,7293358903176204851,500.0
动态视觉效果,视频转场,TransitionType,星星变焦,星星变焦,True,98464024,7452559875839627786,1000.0
动态视觉效果,视频转场,TransitionType,星星吸入,星星吸入,True,34540914,7312716430875562506,1000.0
动态视觉效果,视频转场,TransitionType,星星模糊,星星模糊,True,10169537,7206157339253019197,800.0
动态视觉效果,视频转场,TransitionType,春日光斑,春日光斑,True,43351778,7330599151685603875,1000.0
动态视觉效果,视频转场,TransitionType,暧昧光晕,暧昧光晕,True,20954940,7268613185337299513,800.0
动态视觉效果,视频转场,TransitionType,曝光拉丝,曝光拉丝,True,32432969,7308617539452408358,2000.0
动态视觉效果,视频转场,TransitionType,曝光摇镜,曝光摇镜,True,24147753,7283720497513108025,700.0
动态视觉效果,视频转场,TransitionType,未来光谱,未来光谱,True,7307905,7176890183940313658,800.0
动态视觉效果,视频转场,TransitionType,条形模糊,条形模糊,True,3675841,7122387202725646862,1000.0
动态视觉效果,视频转场,TransitionType,模糊放大,模糊放大,True,29614872,7301280654015074842,1000.0
动态视觉效果,视频转场,TransitionType,模糊细闪,模糊细闪,True,98464023,7452559875839627785,1170.0
动态视觉效果,视频转场,TransitionType,模糊缩小,模糊缩小,True,28141206,7297133348567126566,1200.0
动态视觉效果,视频转场,TransitionType,横向分屏,横向分屏,True,53798168,7351341191184519699,1000.0
动态视觉效果,视频转场,TransitionType,横向滑动,横向滑动,True,89071753,7433711910727455242,1530.0
动态视觉效果,视频转场,TransitionType,横向震动,横向震动,True,79166394,7403329110597964340,1000.0
